ID	Age	sex	handedness
MR_3209959_62ab	55	M	L
MR_3209959_647b	55	M	L
MR_3261820_5159	42	M	L
MR_3304648_6246	54	M	R
MR_3313349_35dd	22	F	R
MR_3315657_31a1	19	M	R
MR_3328556_35c7	23	M	R
MR_3329569_5c3a	50	F	R
MR_3346545_1c72	16	F	R
MR_3362208_1d99	17	M	R
MR_3366302_32de	21	M	R
MR_3374719_104f	7	M	R
MR_3409284_7122	64	M	R
MR_3431295_17e2	13	F	R
MR_3431940_3dfd	28	F	R
MR_3466763_386d	25	F	R
MR_3486362_3a16	25	M	R
MR_3492484_1563	12	F	R
MR_3566919_1284	9	M	R
MR_3594255_7a2b	70	M	R
MR_3606220_5162	42	F	R
MR_3611212_36f0	23	M	L
MR_3695138_5f1a	51	M	R
MR_3701005_45e0	34	M	R
MR_3729976_3499	22	M	R
MR_3755111_7332	65	M	R
MR_3773269_8b0d	82	M	R
MR_3795193_664d	57	M	R
MR_3804254_31a0	19	F	R
MR_3808535_38ad	25	M	R
MR_3811036_3191	20	F	R
MR_3815065_347c	22	M	R
MR_3827479_5459	44	M	R
MR_3848143_12d4	9	M	L
MR_3875444_19ae	14	M	R
MR_3893245_4b1e	38	M	R
MR_3895064_743f	66	F	R
MR_3911767_30b9	19	F	R
MR_3911767_3179	19	F	R
MR_3927656_3268	21	F	R
MR_3927656_3303	21	F	R
MR_3934325_3512	22	F	R
MR_3934325_3578	22	F	R
MR_3951328_331c	21	M	R
MR_3965194_3258	21	M	R
MR_3965194_4516	21	M	R
MR_3989122_0df1	6	F	R
MR_4006955_5800	46	M	R
MR_4015919_5187	48	M	R
MR_4015919_5aed	48	M	R
MR_4026825_5fe8	52	F	R
MR_4077433_4347	33	M	R
MR_4087509_8c98	83	F	R
MR_4089896_1800	13	F	R
MR_4097119_886b	81	M	R
MR_4099085_8018	74	M	R
MR_4100790_52e5	43	M	R
MR_4119751_351c	23	M	R
MR_4126393_562f	61	F	L
MR_4126393_6c9a	61	F	L
MR_4143704_4f12	41	M	R
MR_4154799_4e5d	40	M	R
MR_4176156_5723	46	M	R
MR_4176156_57ed	46	M	R
MR_4188346_502e	41	F	R
MR_4230470_1da0	17	M	R
MR_4277600_4e26	40	M	R
MR_4288245_3482	22	M	R
MR_4290056_39b5	26	F	R
MR_4323037_4dd1	36	F	R
MR_4417007_1c85	17	F	R
MR_4487215_4033	30	F	R
MR_4710111_55b5	45	M	R
MR_4791943_50dd	41	M	R
MR_5108043_8448	77	F	R
MR_5161117_1b12	15	M	R
MR_5205221_75ed	68	M	R
MR_5279162_4eb6	41	M	R
MR_5461463_4dd0	40	F	R
MR_5844518_0d26	5	M	L
MR_6471972_4235	32	M	R
MR_6539040_7cc6	72	M	R
MR_6692978_5233	43	M	R
MR_6709880_35e7	23	M	R
MR_6913939_6047	53	F	R
MR_7055197_3469	22	F	R
MR_7212617_774b	68	M	R
MR_8317157_45be	34	M	R
MR_8574662_50c0	42	M	R
MR_8628499_5332	44	M	L
MR_8691891_7ba2	71	F	R
MR_8735778_42bb	31	F	L
MR_9006154_342a	21	M	R
MR_9006154_37fc	21	M	R
MR_9100911_3a6e	26	F	R
MR_9421819_1328	10	F	L
MR_9536886_6b8e	61	F	R
MR_9537916_35b6	23	M	R
MR_9630905_48ab	36	F	R
MR_9645370_3a31	26	F	R
MR_9716792_630c	55	F	R
MR_9780496_40a9	30	M	R
