MR_ID	age	sex	handedness
BNU_25903_retest_1	n/a	F	n/a
BNU_25904_baseline	19	F	n/a
BNU_25904_retest_1	n/a	F	n/a
BNU_25905_baseline	27	M	n/a
BNU_25905_retest_1	n/a	M	n/a
BNU_25906_baseline	24	F	n/a
BNU_25906_retest_1	n/a	F	n/a
BNU_25907_baseline	24	M	n/a
BNU_25907_retest_1	n/a	M	n/a
BNU_25908_baseline	23	M	n/a
BNU_25908_retest_1	n/a	M	n/a
BNU_25909_baseline	25	F	n/a
BNU_25909_retest_1	n/a	F	n/a
BNU_25910_baseline	23	F	n/a
BNU_25910_retest_1	n/a	F	n/a
BNU_25911_baseline	19	F	n/a
BNU_25911_retest_1	n/a	F	n/a
BNU_25912_baseline	21	M	n/a
BNU_25912_retest_1	n/a	M	n/a
BNU_25913_baseline	21	F	n/a
BNU_25913_retest_1	n/a	F	n/a
BNU_25914_baseline	27	F	n/a
BNU_25914_retest_1	n/a	F	n/a
BNU_25915_baseline	22	M	n/a
BNU_25915_retest_1	n/a	M	n/a
BNU_25916_baseline	23	M	n/a
BNU_25916_retest_1	n/a	M	n/a
BNU_25917_baseline	22	F	n/a
BNU_25917_retest_1	n/a	F	n/a
BNU_25918_baseline	23	M	n/a
BNU_25918_retest_1	n/a	M	n/a
BNU_25919_baseline	25	M	n/a
BNU_25919_retest_1	n/a	M	n/a
BNU_25920_baseline	21	F	n/a
BNU_25920_retest_1	n/a	F	n/a
BNU_25921_baseline	20	F	n/a
BNU_25921_retest_1	n/a	F	n/a
BNU_25922_baseline	21	F	n/a
BNU_25922_retest_1	n/a	F	n/a
BNU_25923_baseline	22	F	n/a
BNU_25923_retest_1	n/a	F	n/a
BNU_25924_baseline	21	F	n/a
BNU_25924_retest_1	n/a	F	n/a
BNU_25925_baseline	21	F	n/a
BNU_25925_retest_1	n/a	F	n/a
BNU_25926_baseline	22	M	n/a
BNU_25926_retest_1	n/a	M	n/a
BNU_25927_baseline	20	M	n/a
BNU_25927_retest_1	n/a	M	n/a
BNU_25928_baseline	20	M	n/a
BNU_25928_retest_1	n/a	M	n/a
BNU_25929_baseline	20	M	n/a
BNU_25929_retest_1	n/a	M	n/a
BNU_25930_baseline	22	M	n/a
BNU_25930_retest_1	n/a	M	n/a
BNU_25931_baseline	21	M	n/a
BNU_25931_retest_1	n/a	M	n/a
BNU_25932_baseline	20	M	n/a
BNU_25932_retest_1	n/a	M	n/a
BNU_25933_baseline	21	F	n/a
BNU_25933_retest_1	n/a	F	n/a
BNU_25934_baseline	20	M	n/a
BNU_25934_retest_1	n/a	M	n/a
BNU_25935_baseline	22	M	n/a
BNU_25935_retest_1	n/a	M	n/a
BNU_25936_baseline	22	M	n/a
BNU_25936_retest_1	n/a	M	n/a
BNU_25937_baseline	21	M	n/a
BNU_25937_retest_1	n/a	M	n/a
BNU_25938_baseline	21	M	n/a
BNU_25938_retest_1	n/a	M	n/a
BNU_25939_baseline	20	M	n/a
BNU_25939_retest_1	n/a	M	n/a
BNU_25940_baseline	20	M	n/a
BNU_25940_retest_1	n/a	M	n/a
BNU_25941_baseline	23	F	n/a
BNU_25941_retest_1	n/a	F	n/a
BNU_25942_baseline	21	F	n/a
BNU_25942_retest_1	n/a	F	n/a
BNU_25943_baseline	22	F	n/a
BNU_25943_retest_1	n/a	F	n/a
BNU_25944_baseline	21	F	n/a
BNU_25944_retest_1	n/a	F	n/a
BNU_25945_baseline	19	F	n/a
BNU_25945_retest_1	n/a	F	n/a
BNU_25946_baseline	19	M	n/a
BNU_25946_retest_1	n/a	M	n/a
BNU_25947_baseline	21	M	n/a
BNU_25947_retest_1	n/a	M	n/a
BNU_25948_baseline	21	F	n/a
BNU_25948_retest_1	n/a	F	n/a
BNU_25949_baseline	20	F	n/a
BNU_25949_retest_1	n/a	F	n/a
BNU_25950_baseline	21	F	n/a
BNU_25950_retest_1	n/a	F	n/a
BNU_25951_baseline	21	F	n/a
BNU_25951_retest_1	n/a	F	n/a
BNU_25952_baseline	19	F	n/a
BNU_25952_retest_1	n/a	F	n/a
BNU_25953_baseline	21	F	n/a
BNU_25953_retest_1	n/a	F	n/a
BNU_25954_baseline	22	F	n/a
BNU_25954_retest_1	n/a	F	n/a
BNU_25955_baseline	19	M	n/a
BNU_25955_retest_1	n/a	M	n/a
BNU_25956_baseline	21	M	n/a
BNU_25956_retest_1	n/a	M	n/a
BNU_25957_baseline	21	M	n/a
BNU_25957_retest_1	n/a	M	n/a
BNU_25958_baseline	20	M	n/a
BNU_25958_retest_1	n/a	M	n/a
BNU_25959_baseline	21	M	n/a
BNU_25959_retest_1	n/a	M	n/a
BNU_25960_baseline	21	M	n/a
BNU_25960_retest_1	n/a	M	n/a
BNU_25961_baseline	21	M	n/a
BNU_25961_retest_1	n/a	M	n/a
BNU_25962_baseline	21	M	n/a
BNU_25962_retest_1	n/a	M	n/a
BNU_25963_baseline	21	M	n/a
BNU_25963_retest_1	n/a	M	n/a
BNU_25964_baseline	22	M	n/a
BNU_25964_retest_1	n/a	M	n/a
BNU_25965_baseline	21	M	n/a
BNU_25965_retest_1	n/a	M	n/a
BNU_25966_baseline	22	M	n/a
BNU_25966_retest_1	n/a	M	n/a
BNU_25967_baseline	21	F	n/a
BNU_25967_retest_1	n/a	F	n/a
BNU_25968_baseline	21	M	n/a
BNU_25968_retest_1	n/a	M	n/a
BNU_25969_baseline	21	M	n/a
BNU_25969_retest_1	n/a	M	n/a
BNU_25970_baseline	21	F	n/a
BNU_25970_retest_1	n/a	F	n/a
BNU_25971_baseline	20	F	n/a
BNU_25971_retest_1	n/a	F	n/a
BNU_25972_baseline	21	F	n/a
BNU_25972_retest_1	n/a	F	n/a
BNU_25973_baseline	22	F	n/a
BNU_25973_retest_1	n/a	F	n/a
BNU_25974_baseline	21	M	n/a
BNU_25974_retest_1	n/a	M	n/a
BNU_25975_baseline	21	F	n/a
BNU_25975_retest_1	n/a	F	n/a
BNU_25976_baseline	21	F	n/a
BNU_25976_retest_1	n/a	F	n/a
BNU_25977_baseline	23	F	n/a
BNU_25977_retest_1	n/a	F	n/a
BNU_25978_baseline	21	F	n/a
BNU_25978_retest_1	n/a	F	n/a
BNU_25979_baseline	21	M	n/a
BNU_25979_retest_1	n/a	M	n/a
BNU_25980_baseline	19	M	n/a
BNU_25980_retest_1	n/a	M	n/a
BNU_25981_baseline	21	F	n/a
BNU_25981_retest_1	n/a	F	n/a
BNU_27055_baseline	22	M	n/a
BNU_27056_baseline	20	F	n/a
BNU_27057_baseline	20	F	n/a
BNU_27058_baseline	24	F	n/a
BNU_27059_baseline	23	F	n/a
BNU_27060_baseline	20	F	n/a
BNU_27061_baseline	30	M	n/a
BNU_27062_baseline	20	F	n/a
BNU_27063_baseline	24	M	n/a
BNU_27064_baseline	21	F	n/a
BNU_27065_baseline	23	F	n/a
BNU_27066_baseline	23	F	n/a
BNU_27067_baseline	24	M	n/a
BNU_27068_baseline	23	F	n/a
BNU_27069_baseline	18	M	n/a
BNU_27100_baseline	23	F	n/a
BNU_27101_baseline	23	M	n/a
BNU_27102_baseline	20	M	n/a
HNU_25427_baseline	23	M	n/a
HNU_25427_retest_1	23	M	n/a
HNU_25427_retest_2	23	M	n/a
HNU_25427_retest_3	23	M	n/a
HNU_25427_retest_4	23	M	n/a
HNU_25427_retest_5	23	M	n/a
HNU_25427_retest_6	23	M	n/a
HNU_25427_retest_7	23	M	n/a
HNU_25427_retest_8	23	M	n/a
HNU_25427_retest_9	23	M	n/a
HNU_25428_baseline	28	F	n/a
HNU_25428_retest_1	28	F	n/a
HNU_25428_retest_2	28	F	n/a
HNU_25428_retest_3	28	F	n/a
HNU_25428_retest_4	28	F	n/a
HNU_25428_retest_5	28	F	n/a
HNU_25428_retest_6	28	F	n/a
HNU_25428_retest_7	28	F	n/a
HNU_25428_retest_8	28	F	n/a
HNU_25428_retest_9	28	F	n/a
HNU_25429_baseline	23	F	n/a
HNU_25429_retest_1	23	F	n/a
HNU_25429_retest_2	23	F	n/a
HNU_25429_retest_3	23	F	n/a
HNU_25429_retest_4	23	F	n/a
HNU_25429_retest_5	23	F	n/a
HNU_25429_retest_6	23	F	n/a
HNU_25429_retest_7	23	F	n/a
HNU_25429_retest_8	23	F	n/a
HNU_25429_retest_9	23	F	n/a
HNU_25430_baseline	20	F	n/a
HNU_25430_retest_1	20	F	n/a
HNU_25430_retest_2	20	F	n/a
HNU_25430_retest_3	20	F	n/a
HNU_25430_retest_4	20	F	n/a
HNU_25430_retest_5	20	F	n/a
HNU_25430_retest_6	20	F	n/a
HNU_25430_retest_7	20	F	n/a
HNU_25430_retest_8	20	F	n/a
HNU_25430_retest_9	20	F	n/a
HNU_25431_baseline	25	F	n/a
HNU_25431_retest_1	25	F	n/a
HNU_25431_retest_2	25	F	n/a
HNU_25431_retest_3	25	F	n/a
HNU_25431_retest_4	25	F	n/a
HNU_25431_retest_5	25	F	n/a
HNU_25431_retest_6	25	F	n/a
HNU_25431_retest_7	25	F	n/a
HNU_25431_retest_8	25	F	n/a
HNU_25431_retest_9	25	F	n/a
HNU_25432_baseline	21	M	n/a
HNU_25432_retest_1	21	M	n/a
HNU_25432_retest_2	21	M	n/a
HNU_25432_retest_3	21	M	n/a
HNU_25432_retest_4	21	M	n/a
HNU_25432_retest_5	21	M	n/a
HNU_25432_retest_6	21	M	n/a
HNU_25432_retest_7	21	M	n/a
HNU_25432_retest_8	21	M	n/a
HNU_25432_retest_9	21	M	n/a
HNU_25433_baseline	22	M	n/a
HNU_25433_retest_1	22	M	n/a
HNU_25433_retest_2	22	M	n/a
HNU_25433_retest_3	22	M	n/a
HNU_25433_retest_4	22	M	n/a
HNU_25433_retest_5	22	M	n/a
HNU_25433_retest_6	22	M	n/a
HNU_25433_retest_7	22	M	n/a
HNU_25433_retest_8	22	M	n/a
HNU_25433_retest_9	22	M	n/a
HNU_25434_baseline	24	M	n/a
HNU_25434_retest_1	24	M	n/a
HNU_25434_retest_2	24	M	n/a
HNU_25434_retest_3	24	M	n/a
HNU_25434_retest_4	24	M	n/a
HNU_25434_retest_5	24	M	n/a
HNU_25434_retest_6	24	M	n/a
HNU_25434_retest_7	24	M	n/a
HNU_25434_retest_8	24	M	n/a
HNU_25434_retest_9	24	M	n/a
HNU_25435_baseline	30	F	n/a
HNU_25435_retest_1	30	F	n/a
HNU_25435_retest_2	30	F	n/a
HNU_25435_retest_3	30	F	n/a
HNU_25435_retest_4	30	F	n/a
HNU_25435_retest_5	30	F	n/a
HNU_25435_retest_6	30	F	n/a
HNU_25435_retest_7	30	F	n/a
HNU_25435_retest_8	30	F	n/a
HNU_25435_retest_9	30	F	n/a
HNU_25436_baseline	25	M	n/a
HNU_25436_retest_1	25	M	n/a
HNU_25436_retest_2	25	M	n/a
HNU_25436_retest_3	25	M	n/a
HNU_25436_retest_4	25	M	n/a
HNU_25436_retest_5	25	M	n/a
HNU_25436_retest_6	25	M	n/a
HNU_25436_retest_7	25	M	n/a
HNU_25436_retest_8	25	M	n/a
HNU_25436_retest_9	25	M	n/a
HNU_25437_baseline	24	M	n/a
HNU_25437_retest_1	24	M	n/a
HNU_25437_retest_2	24	M	n/a
HNU_25437_retest_3	24	M	n/a
HNU_25437_retest_4	24	M	n/a
HNU_25437_retest_5	24	M	n/a
HNU_25437_retest_6	24	M	n/a
HNU_25437_retest_7	24	M	n/a
HNU_25437_retest_8	24	M	n/a
HNU_25437_retest_9	24	M	n/a
HNU_25438_baseline	23	F	n/a
HNU_25438_retest_1	23	F	n/a
HNU_25438_retest_2	23	F	n/a
HNU_25438_retest_3	23	F	n/a
HNU_25438_retest_4	23	F	n/a
HNU_25438_retest_5	23	F	n/a
HNU_25438_retest_6	23	F	n/a
HNU_25438_retest_7	23	F	n/a
HNU_25438_retest_8	23	F	n/a
HNU_25438_retest_9	23	F	n/a
HNU_25439_baseline	24	F	n/a
HNU_25439_retest_1	24	F	n/a
HNU_25439_retest_2	24	F	n/a
HNU_25439_retest_3	24	F	n/a
HNU_25439_retest_4	24	F	n/a
HNU_25439_retest_5	24	F	n/a
HNU_25439_retest_6	24	F	n/a
HNU_25439_retest_7	24	F	n/a
HNU_25439_retest_8	24	F	n/a
HNU_25439_retest_9	24	F	n/a
HNU_25440_baseline	24	M	n/a
HNU_25440_retest_1	24	M	n/a
HNU_25440_retest_2	24	M	n/a
HNU_25440_retest_3	24	M	n/a
HNU_25440_retest_4	24	M	n/a
HNU_25440_retest_5	24	M	n/a
HNU_25440_retest_6	24	M	n/a
HNU_25440_retest_7	24	M	n/a
HNU_25440_retest_8	24	M	n/a
HNU_25440_retest_9	24	M	n/a
HNU_25441_baseline	24	F	n/a
HNU_25441_retest_1	24	F	n/a
HNU_25441_retest_2	24	F	n/a
HNU_25441_retest_3	24	F	n/a
HNU_25441_retest_4	24	F	n/a
HNU_25441_retest_5	24	F	n/a
HNU_25441_retest_6	24	F	n/a
HNU_25441_retest_7	24	F	n/a
HNU_25441_retest_8	24	F	n/a
HNU_25441_retest_9	24	F	n/a
HNU_25442_baseline	27	F	n/a
HNU_25442_retest_1	27	F	n/a
HNU_25442_retest_2	27	F	n/a
HNU_25442_retest_3	27	F	n/a
HNU_25442_retest_4	27	F	n/a
HNU_25442_retest_5	27	F	n/a
HNU_25442_retest_6	27	F	n/a
HNU_25442_retest_7	27	F	n/a
HNU_25442_retest_8	27	F	n/a
HNU_25442_retest_9	27	F	n/a
HNU_25443_baseline	25	M	n/a
HNU_25443_retest_1	25	M	n/a
HNU_25443_retest_2	25	M	n/a
HNU_25443_retest_3	25	M	n/a
HNU_25443_retest_4	25	M	n/a
HNU_25443_retest_5	25	M	n/a
HNU_25443_retest_6	25	M	n/a
HNU_25443_retest_7	25	M	n/a
HNU_25443_retest_8	25	M	n/a
HNU_25443_retest_9	25	M	n/a
HNU_25444_baseline	27	F	n/a
HNU_25444_retest_1	27	F	n/a
HNU_25444_retest_2	27	F	n/a
HNU_25444_retest_3	27	F	n/a
HNU_25444_retest_4	27	F	n/a
HNU_25444_retest_5	27	F	n/a
HNU_25444_retest_6	27	F	n/a
HNU_25444_retest_7	27	F	n/a
HNU_25444_retest_8	27	F	n/a
HNU_25444_retest_9	27	F	n/a
HNU_25445_baseline	23	F	n/a
HNU_25445_retest_1	23	F	n/a
HNU_25445_retest_2	23	F	n/a
HNU_25445_retest_3	23	F	n/a
HNU_25445_retest_4	23	F	n/a
HNU_25445_retest_5	23	F	n/a
HNU_25445_retest_6	23	F	n/a
HNU_25445_retest_7	23	F	n/a
HNU_25445_retest_8	23	F	n/a
HNU_25445_retest_9	23	F	n/a
HNU_25446_baseline	30	M	n/a
HNU_25446_retest_1	30	M	n/a
HNU_25446_retest_2	30	M	n/a
HNU_25446_retest_3	30	M	n/a
HNU_25446_retest_4	30	M	n/a
HNU_25446_retest_5	30	M	n/a
HNU_25446_retest_6	30	M	n/a
HNU_25446_retest_7	30	M	n/a
HNU_25446_retest_8	30	M	n/a
HNU_25446_retest_9	30	M	n/a
HNU_25447_baseline	26	M	n/a
HNU_25447_retest_1	26	M	n/a
HNU_25447_retest_2	26	M	n/a
HNU_25447_retest_3	26	M	n/a
HNU_25447_retest_4	26	M	n/a
HNU_25447_retest_5	26	M	n/a
HNU_25447_retest_6	26	M	n/a
HNU_25447_retest_7	26	M	n/a
HNU_25447_retest_8	26	M	n/a
HNU_25447_retest_9	26	M	n/a
HNU_25448_baseline	23	M	n/a
HNU_25448_retest_1	23	M	n/a
HNU_25448_retest_2	23	M	n/a
HNU_25448_retest_3	23	M	n/a
HNU_25448_retest_4	23	M	n/a
HNU_25448_retest_5	23	M	n/a
HNU_25448_retest_6	23	M	n/a
HNU_25448_retest_7	23	M	n/a
HNU_25448_retest_8	23	M	n/a
HNU_25448_retest_9	23	M	n/a
HNU_25449_baseline	22	M	n/a
HNU_25449_retest_1	22	M	n/a
HNU_25449_retest_2	22	M	n/a
HNU_25449_retest_3	22	M	n/a
HNU_25449_retest_4	22	M	n/a
HNU_25449_retest_5	22	M	n/a
HNU_25449_retest_6	22	M	n/a
HNU_25449_retest_7	22	M	n/a
HNU_25449_retest_8	22	M	n/a
HNU_25449_retest_9	22	M	n/a
HNU_25450_baseline	25	F	n/a
HNU_25450_retest_1	25	F	n/a
HNU_25450_retest_2	25	F	n/a
HNU_25450_retest_3	25	F	n/a
HNU_25450_retest_4	25	F	n/a
HNU_25450_retest_5	25	F	n/a
HNU_25450_retest_6	25	F	n/a
HNU_25450_retest_7	25	F	n/a
HNU_25450_retest_8	25	F	n/a
HNU_25450_retest_9	25	F	n/a
HNU_25451_baseline	22	M	n/a
HNU_25451_retest_1	22	M	n/a
HNU_25451_retest_2	22	M	n/a
HNU_25451_retest_3	22	M	n/a
HNU_25451_retest_4	22	M	n/a
HNU_25451_retest_5	22	M	n/a
HNU_25451_retest_6	22	M	n/a
HNU_25451_retest_7	22	M	n/a
HNU_25451_retest_8	22	M	n/a
HNU_25451_retest_9	22	M	n/a
HNU_25452_baseline	22	F	n/a
HNU_25452_retest_1	22	F	n/a
HNU_25452_retest_2	22	F	n/a
HNU_25452_retest_3	22	F	n/a
HNU_25452_retest_4	22	F	n/a
HNU_25452_retest_5	22	F	n/a
HNU_25452_retest_6	22	F	n/a
HNU_25452_retest_7	22	F	n/a
HNU_25452_retest_8	22	F	n/a
HNU_25452_retest_9	22	F	n/a
HNU_25453_baseline	26	F	n/a
HNU_25453_retest_1	26	F	n/a
HNU_25453_retest_2	26	F	n/a
HNU_25453_retest_3	26	F	n/a
HNU_25453_retest_4	26	F	n/a
HNU_25453_retest_5	26	F	n/a
HNU_25453_retest_6	26	F	n/a
HNU_25453_retest_7	26	F	n/a
HNU_25453_retest_8	26	F	n/a
HNU_25453_retest_9	26	F	n/a
HNU_25454_baseline	26	M	n/a
HNU_25454_retest_1	26	M	n/a
HNU_25454_retest_2	26	M	n/a
HNU_25454_retest_3	26	M	n/a
HNU_25454_retest_4	26	M	n/a
HNU_25454_retest_5	26	M	n/a
HNU_25454_retest_6	26	M	n/a
HNU_25454_retest_7	26	M	n/a
HNU_25454_retest_8	26	M	n/a
HNU_25454_retest_9	26	M	n/a
HNU_25455_baseline	25	M	n/a
HNU_25455_retest_1	25	M	n/a
HNU_25455_retest_2	25	M	n/a
HNU_25455_retest_3	25	M	n/a
HNU_25455_retest_4	25	M	n/a
HNU_25455_retest_5	25	M	n/a
HNU_25455_retest_6	25	M	n/a
HNU_25455_retest_7	25	M	n/a
HNU_25455_retest_8	25	M	n/a
HNU_25455_retest_9	25	M	n/a
HNU_25456_baseline	22	F	n/a
HNU_25456_retest_1	22	F	n/a
HNU_25456_retest_2	22	F	n/a
HNU_25456_retest_3	22	F	n/a
HNU_25456_retest_4	22	F	n/a
HNU_25456_retest_5	22	F	n/a
HNU_25456_retest_6	22	F	n/a
HNU_25456_retest_7	22	F	n/a
HNU_25456_retest_8	22	F	n/a
HNU_25456_retest_9	22	F	n/a
IACAS_25457_baseline	24	F	n/a
IACAS_25457_retest_1	24	F	n/a
IACAS_25458_baseline	24	M	n/a
IACAS_25458_retest_1	24	M	n/a
IACAS_25458_retest_2	n/a	M	n/a
IACAS_25459_baseline	25	M	n/a
IACAS_25459_retest_1	25	M	n/a
IACAS_25460_baseline	24	F	n/a
IACAS_25460_retest_1	24	F	n/a
IACAS_25461_baseline	25	M	n/a
IACAS_25461_retest_1	25	M	n/a
IACAS_25462_baseline	24	F	n/a
IACAS_25462_retest_1	24	F	n/a
IACAS_25463_baseline	28	F	n/a
IACAS_25463_retest_1	28	F	n/a
IACAS_25463_retest_2	n/a	F	n/a
IACAS_25464_baseline	26	F	n/a
IACAS_25464_retest_1	26	F	n/a
IACAS_25465_baseline	24	M	n/a
IACAS_25465_retest_1	24	M	n/a
IACAS_25465_retest_2	n/a	M	n/a
IACAS_25466_baseline	24	F	n/a
IACAS_25466_retest_1	24	F	n/a
IACAS_25466_retest_2	n/a	F	n/a
IACAS_25467_baseline	30	M	n/a
IACAS_25467_retest_1	30	M	n/a
IACAS_25468_baseline	31	F	n/a
IACAS_25468_retest_1	31	F	n/a
IACAS_25469_baseline	25	F	n/a
IACAS_25469_retest_1	25	F	n/a
IACAS_25470_baseline	21	F	n/a
IACAS_25470_retest_1	21	F	n/a
IACAS_25471_baseline	19	M	n/a
IACAS_25471_retest_1	19	M	n/a
IACAS_25472_baseline	29	F	n/a
IACAS_25472_retest_1	29	F	n/a
IACAS_25473_baseline	34	F	n/a
IACAS_25473_retest_1	34	F	n/a
IACAS_25474_baseline	43	M	n/a
IACAS_25474_retest_1	43	M	n/a
IACAS_25475_baseline	29	M	n/a
IACAS_25475_retest_1	29	M	n/a
IACAS_25476_baseline	25	M	n/a
IACAS_25476_retest_1	25	M	n/a
IACAS_25477_baseline	29	M	n/a
IACAS_25477_retest_1	29	M	n/a
IACAS_25478_baseline	24	M	n/a
IACAS_25478_retest_1	24	M	n/a
IACAS_25479_baseline	32	M	n/a
IACAS_25479_retest_1	32	M	n/a
IACAS_25480_baseline	19	F	n/a
IACAS_25480_retest_1	19	F	n/a
IACAS_25481_baseline	27	M	n/a
IACAS_25481_retest_1	27	M	n/a
IACAS_25482_baseline	28	F	n/a
IACAS_25482_retest_1	28	F	n/a
IACAS_25483_baseline	19	F	n/a
IACAS_25483_retest_1	19	F	n/a
IACAS_25484_baseline	28	F	n/a
IACAS_25484_retest_1	28	F	n/a
IBATRT_27223_baseline	20	F	n/a
IBATRT_27224_baseline	40	M	n/a
IBATRT_27224_retest_1	n/a	M	n/a
IBATRT_27225_baseline	26	F	n/a
IBATRT_27225_retest_1	n/a	F	n/a
IBATRT_27226_baseline	36	M	n/a
IBATRT_27226_retest_1	n/a	M	n/a
IBATRT_27227_baseline	20	M	n/a
IBATRT_27227_retest_1	n/a	M	n/a
IBATRT_27228_baseline	25	M	n/a
IBATRT_27228_retest_1	n/a	M	n/a
IBATRT_27229_baseline	48	F	n/a
IBATRT_27230_baseline	20	M	n/a
IBATRT_27231_baseline	20	F	n/a
IBATRT_27231_retest_1	n/a	F	n/a
IBATRT_27232_baseline	23	F	n/a
IBATRT_27233_baseline	22	F	n/a
IBATRT_27234_baseline	21	F	n/a
IBATRT_27235_baseline	24	F	n/a
IBATRT_27236_baseline	29	M	n/a
IBATRT_27237_baseline	20	M	n/a
IBATRT_27238_baseline	20	M	n/a
IBATRT_27239_baseline	40	F	n/a
IBATRT_27240_baseline	40	M	n/a
IBATRT_27240_retest_1	n/a	M	n/a
IBATRT_27241_baseline	27	M	n/a
IBATRT_27241_retest_1	n/a	M	n/a
IBATRT_27242_baseline	26	M	n/a
IBATRT_27243_baseline	36	M	n/a
IBATRT_27243_retest_1	n/a	M	n/a
IBATRT_27244_baseline	22	F	n/a
IBATRT_27245_baseline	39	M	n/a
IBATRT_27246_baseline	21	F	n/a
